"Reference","Value","Footprint","Datasheet","Mfr","Mfr P/N","Note","Supplier 1","Supplier 1 P/N","price","purchase url","Qty"
"R1, R6, R18, R19, R32, R36, R37, R39, R47","10k/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","","YAGEO","RC0402FR-0710KL","","LCSC","C60490","","https://www.lcsc.com/product-detail/Chip-span-style-background-color-ff0-Resistor-span-Surface-Mount_YAGEO-RC0402FR-0710KL_C60490.html","9"
"R4","47k/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","","YAGEO","AC0402JR-0747KL","","LCSC","C144710","0.0009","https://www.lcsc.com/product-detail/Chip-span-style-background-color-ff0-Resistor-span-Surface-Mount_YAGEO-AC0402JR-0747KL_C144710.html","1"
"R5, R8, R31, R35","2.2k/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","","YAGEO","AC0402JR-072K2L","","LCSC","C144718","0.0008","https://www.lcsc.com/product-detail/Chip-span-style-background-color-ff0-Resistor-span-Surface-Mount_YAGEO-AC0402JR-072K2L_C144718.html","4"
"R7, R16","470k/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","","YAGEO","AC0402JR-07470KL","","LCSC","C227380","0.0005","https://www.lcsc.com/product-detail/Chip-span-style-background-color-ff0-Resistor-span-Surface-Mount_YAGEO-AC0402JR-07470KL_C227380.html","2"
"R9","100k/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","","YAGEO","RC0402FR-07100KL","","LCSC","C60491","","https://www.lcsc.com/product-detail/Chip-span-style-background-color-ff0-Resistor-span-Surface-Mount_YAGEO-RC0402FR-07100KL_C60491.html","1"
"R17, R48","NA/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","","","","","","","","","2"
"R20, R21","1k/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","","YAGEO","RC0402FR-071KL","","LCSC","C106235","0.0006","https://www.lcsc.com/product-detail/Chip-span-style-background-color-ff0-Resistor-span-Surface-Mount_YAGEO-RC0402FR-071KL_C106235.html","2"
"R24, R45, R46","220R/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","","LIZ Elec","CR0402JF0221G","","LCSC","C100613","0.0004","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_LIZ-Elec-CR0402JF0221G_C100613.html","3"
"R29","220k/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","","YAGEO","RE0402DRE07220KL","","LCSC","C851925","0.0031","https://www.lcsc.com/product-detail/Chip-span-style-background-color-ff0-Resistor-span-Surface-Mount_YAGEO-RE0402DRE07220KL_C851925.html","1"
"R30","49.9k/1%/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","","YAGEO","AT0402BRD0749K9L","","LCSC","C851029","0.0448","https://www.lcsc.com/product-detail/Chip-span-style-background-color-ff0-Resistor-span-Surface-Mount_YAGEO-AT0402BRD0749K9L_C851029.html","1"
"R40, R42","10R/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","","YAGEO","RC0402FR-0710RL","","LCSC","C138066"," 0.0014","https://www.lcsc.com/product-detail/Chip-span-style-background-color-ff0-Resistor-span-Surface-Mount_YAGEO-RC0402FR-0710RL_C138066.html","2"
"RM3","RA1206_(4X0603)_4B8_2.2k","OLIMEX_RLC-FP:R_MATRIX_4","","UNI-ROYAL(Uniroyal Elec)","4D03WGJ0222T5E","","LCSC","C12001","0.0049","https://www.lcsc.com/product-detail/Resistor-Networks-Arrays_UNI-ROYAL-Uniroyal-Elec-4D03WGJ0222T5E_C12001.html","1"
"SW1, SW2","PTS815 SJM 250 SMTR LFS","SW4_PTS815 SJM 250 SMTR LFS_CNK","PTS815 SJM 250 SMTR LFS","C&K","PTS815SJG250SMTRLFS","","LCSC","C411883","0.0850","https://www.lcsc.com/product-detail/Tactile-Switches_C-K-PTS815SJG250SMTRLFS_C411883.html","2"
"U1","CH340T(SSOP20W)","OLIMEX_IC-FP:SSOP-20W","","WCH(Jiangsu Qin Heng)","CH340T","PB-Free","LCSC","C8689","0.6253","https://www.lcsc.com/product-detail/USB-Converters_WCH-Jiangsu-Qin-Heng-CH340T_C8689.html","1"
"U3","BL4054B-42TPRN(SOT23-5)","OLIMEX_IC-FP:SOT-23-5","https://datasheet.lcsc.com/szlcsc/BL4054B-42TPRN_C83783.pdf","BL(Shanghai Belling)","BL4054B-42TPRN","PB-Free","LCSC","C83783"," 0.1470","https://www.lcsc.com/product-detail/Battery-Management_BL-Shanghai-Belling-BL4054B-42TPRN_C83783.html","1"
"U6","ESP32-WROVER-E","OLIMEX_Cases-FP:ESP32-WROVER(WROOM)-UNIVERSAL_MODULE","","Espressif Systems","ESP32-WROVER-E-N8R8","","LCSC","C2973667","4.6460","https://www.lcsc.com/product-detail/WiFi-Modules_Espressif-Systems-ESP32-WROVER-E-N8R8_C2973667.html","1"
"U7","SY8089AAAC(SOT23-5)","OLIMEX_Regulators-FP:SOT-23-5","","Silergy Corp","SY8089AAAC","PB-Free","LCSC","C78988","0.1537","https://www.lcsc.com/product-detail/DC-DC-Converters_Silergy-Corp-SY8089AAAC_C78988.html","1"
"U8","SN74LVC1G04DBVR(SOT23-5)","OLIMEX_IC-FP:SOT-23-5","","Texas Instruments","SN74LVC1G04DBVR","","LCSC","C7827","0.0520","https://www.lcsc.com/product-detail/Inverters_Texas-Instruments-SN74LVC1G04DBVR_C7827.html","1"
"UEXT1","P-B-V-10-LF","3221-10-0300-00:CONN10_3221-10-0300-00_CNC","","CNC Tech","3221-10-0300-00","Solder later","Digikey","1175-1735-ND","1.02000","https://www.digikey.com/en/products/detail/cnc-tech/3221-10-0300-00/4878946","1"
