1754437953.413494: {"orientation": {"x": 41.62, "y": 42.81, "z": -121.25}, "gyro": {"x": -0.26, "y": 0.11, "z": 0.07}, "linear_accel": {"x": -0.18, "y": -0.02, "z": 0.1}, "mag": {"x": -14.75, "y": 7.25, "z": 12.06}, "accel": {"x": 6.59, "y": 6.1, "z": -3.48}, "gravity": {"x": 6.68, "y": 6.14, "z": -3.71}, "temp": 54, "calib": {"sys": 0, "gyro": 3, "accel": 0, "mag": 3}}
1754437953.422924: {"orientation": {"x": 41.56, "y": 43.0, "z": -121.06}, "gyro": {"x": 0.12, "y": 0.08, "z": 0.05}, "linear_accel": {"x": -0.03, "y": -0.37, "z": 0.86}, "mag": {"x": -14.75, "y": 7.25, "z": 12.06}, "accel": {"x": 6.65, "y": 5.76, "z": -2.84}, "gravity": {"x": 6.69, "y": 6.13, "z": -3.7}, "temp": 54, "calib": {"sys": 0, "gyro": 3, "accel": 0, "mag": 3}}
1754437953.422934: {"orientation": {"x": 41.25, "y": 43.06, "z": -121.25}, "gyro": {"x": 0.19, "y": -0.0, "z": 0.04}, "linear_accel": {"x": 0.25, "y": -0.27, "z": 0.2}, "mag": {"x": -14.38, "y": 7.56, "z": 11.56}, "accel": {"x": 6.94, "y": 5.83, "z": -3.53}, "gravity": {"x": 6.69, "y": 6.11, "z": -3.73}, "temp": 54, "calib": {"sys": 0, "gyro": 3, "accel": 0, "mag": 3}}
1754437953.422942: {"orientation": {"x": 41.06, "y": 43.0, "z": -121.5}, "gyro": {"x": 0.26, "y": -0.04, "z": -0.08}, "linear_accel": {"x": 0.05, "y": -0.11, "z": 0.17}, "mag": {"x": -14.38, "y": 7.56, "z": 11.56}, "accel": {"x": 6.52, "y": 6.09, "z": -3.76}, "gravity": {"x": 6.68, "y": 6.1, "z": -3.77}, "temp": 54, "calib": {"sys": 0, "gyro": 3, "accel": 0, "mag": 3}}
1754437953.468263: {"orientation": {"x": 41.0, "y": 42.88, "z": -121.81}, "gyro": {"x": 0.2, "y": -0.09, "z": -0.07}, "linear_accel": {"x": 0.02, "y": 0.12, "z": -0.09}, "mag": {"x": -14.38, "y": 7.56, "z": 11.56}, "accel": {"x": 6.69, "y": 6.23, "z": -3.9}, "gravity": {"x": 6.66, "y": 6.1, "z": -3.8}, "temp": 54, "calib": {"sys": 0, "gyro": 3, "accel": 0, "mag": 3}}
1754437953.500581: {"orientation": {"x": 40.88, "y": 42.75, "z": -122.0}, "gyro": {"x": 0.18, "y": -0.05, "z": -0.03}, "linear_accel": {"x": -0.04, "y": 0.01, "z": 0.0}, "mag": {"x": -15.19, "y": 8.0, "z": 11.19}, "accel": {"x": 6.55, "y": 6.07, "z": -3.72}, "gravity": {"x": 6.66, "y": 6.09, "z": -3.82}, "temp": 54, "calib": {"sys": 0, "gyro": 3, "accel": 0, "mag": 3}}
1754437953.5005949: {"orientation": {"x": 40.75, "y": 42.75, "z": -122.19}, "gyro": {"x": 0.13, "y": -0.06, "z": -0.02}, "linear_accel": {"x": -0.02, "y": 0.01, "z": 0.35}, "mag": {"x": -15.19, "y": 8.0, "z": 11.19}, "accel": {"x": 6.71, "y": 6.16, "z": -3.46}, "gravity": {"x": 6.65, "y": 6.08, "z": -3.85}, "temp": 54, "calib": {"sys": 0, "gyro": 3, "accel": 0, "mag": 3}}
1754437953.520913: {"orientation": {"x": 40.62, "y": 42.69, "z": -122.44}, "gyro": {"x": 0.22, "y": -0.05, "z": -0.05}, "linear_accel": {"x": 0.0, "y": -0.01, "z": 0.09}, "mag": {"x": -15.19, "y": 8.0, "z": 11.19}, "accel": {"x": 6.64, "y": 6.06, "z": -3.77}, "gravity": {"x": 6.64, "y": 6.07, "z": -3.88}, "temp": 54, "calib": {"sys": 0, "gyro": 3, "accel": 0, "mag": 3}}
1754437953.529124: {"orientation": {"x": 40.56, "y": 42.56, "z": -122.62}, "gyro": {"x": 0.12, "y": -0.07, "z": -0.07}, "linear_accel": {"x": -0.12, "y": 0.13, "z": -0.6}, "mag": {"x": -14.75, "y": 7.56, "z": 11.56}, "accel": {"x": 6.5, "y": 6.38, "z": -4.31}, "gravity": {"x": 6.63, "y": 6.08, "z": -3.89}, "temp": 54, "calib": {"sys": 0, "gyro": 3, "accel": 0, "mag": 3}}
1754437953.546759: {"orientation": {"x": 40.69, "y": 42.5, "z": -122.56}, "gyro": {"x": -0.08, "y": 0.0, "z": -0.04}, "linear_accel": {"x": -0.12, "y": 0.13, "z": 0.22}, "mag": {"x": -14.75, "y": 7.56, "z": 11.56}, "accel": {"x": 6.51, "y": 6.22, "z": -3.66}, "gravity": {"x": 6.63, "y": 6.08, "z": -3.88}, "temp": 54, "calib": {"sys": 0, "gyro": 3, "accel": 0, "mag": 3}}
1754437953.575854: {"orientation": {"x": 40.62, "y": 42.56, "z": -122.56}, "gyro": {"x": 0.15, "y": 0.01, "z": 0.0}, "linear_accel": {"x": 0.0, "y": -0.22, "z": 0.56}, "mag": {"x": -15.19, "y": 8.38, "z": 11.56}, "accel": {"x": 6.62, "y": 5.85, "z": -3.32}, "gravity": {"x": 6.63, "y": 6.07, "z": -3.89}, "temp": 54, "calib": {"sys": 0, "gyro": 3, "accel": 0, "mag": 3}}
1754437953.617447: {"orientation": {"x": 40.31, "y": 42.5, "z": -122.94}, "gyro": {"x": 0.27, "y": -0.04, "z": -0.07}, "linear_accel": {"x": -0.13, "y": -0.01, "z": -0.04}, "mag": {"x": -15.19, "y": 8.38, "z": 11.56}, "accel": {"x": 6.47, "y": 6.21, "z": -4.17}, "gravity": {"x": 6.61, "y": 6.06, "z": -3.94}, "temp": 54, "calib": {"sys": 0, "gyro": 3, "accel": 0, "mag": 3}}
1754437953.624777: {"orientation": {"x": 40.19, "y": 42.31, "z": -123.25}, "gyro": {"x": 0.16, "y": -0.03, "z": -0.05}, "linear_accel": {"x": -0.26, "y": 0.16, "z": -0.37}, "mag": {"x": -14.38, "y": 8.38, "z": 11.19}, "accel": {"x": 6.33, "y": 6.22, "z": -4.34}, "gravity": {"x": 6.6, "y": 6.05, "z": -3.97}, "temp": 54, "calib": {"sys": 0, "gyro": 3, "accel": 0, "mag": 3}}
1754437953.646163: {"orientation": {"x": 40.12, "y": 42.31, "z": -123.31}, "gyro": {"x": -0.0, "y": 0.01, "z": 0.01}, "linear_accel": {"x": -0.08, "y": 0.03, "z": -0.18}, "mag": {"x": -14.38, "y": 8.38, "z": 11.19}, "accel": {"x": 6.52, "y": 6.07, "z": -4.02}, "gravity": {"x": 6.6, "y": 6.05, "z": -3.97}, "temp": 54, "calib": {"sys": 0, "gyro": 3, "accel": 0, "mag": 3}}
1754437953.6734378: {"orientation": {"x": 40.19, "y": 42.31, "z": -123.19}, "gyro": {"x": -0.12, "y": 0.02, "z": 0.03}, "linear_accel": {"x": 0.24, "y": -0.09, "z": 0.51}, "mag": {"x": -14.75, "y": 9.06, "z": 9.75}, "accel": {"x": 6.85, "y": 5.96, "z": -3.45}, "gravity": {"x": 6.61, "y": 6.05, "z": -3.96}, "temp": 54, "calib": {"sys": 0, "gyro": 3, "accel": 0, "mag": 3}}
1754437953.6958332: {"orientation": {"x": 40.12, "y": 42.38, "z": -123.25}, "gyro": {"x": -0.02, "y": -0.04, "z": 0.01}, "linear_accel": {"x": 0.23, "y": 0.02, "z": 0.18}, "mag": {"x": -14.75, "y": 9.06, "z": 9.75}, "accel": {"x": 6.84, "y": 6.07, "z": -3.79}, "gravity": {"x": 6.6, "y": 6.05, "z": -3.97}, "temp": 54, "calib": {"sys": 0, "gyro": 3, "accel": 0, "mag": 3}}
1754437953.730171: {"orientation": {"x": 40.19, "y": 42.31, "z": -123.25}, "gyro": {"x": 0.01, "y": -0.0, "z": -0.02}, "linear_accel": {"x": -0.11, "y": 0.2, "z": -0.1}, "mag": {"x": -14.38, "y": 7.56, "z": 12.06}, "accel": {"x": 6.47, "y": 6.16, "z": -4.17}, "gravity": {"x": 6.6, "y": 6.05, "z": -3.97}, "temp": 54, "calib": {"sys": 0, "gyro": 3, "accel": 0, "mag": 3}}
